Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2008A,"Ober, Charles J.",04/07/2011,Accepting an over-the-limit corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships","$3,575"
2008A,"Ober, Charles J.",04/07/2011,Failing to demonstrate compliance with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2008A,"Ober, Charles J.",04/07/2011,Filing two disclosure statements late,Failing to file/filing late disclosure statements,$350
2008A,"Ober, Charles J.",04/07/2011,Failing to accurately report disbursements and cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$700
2008A,"Ober, Charles J.",04/07/2011,Failing to document a loan,Failing to document transactions,$50
2008A,"Ober, Charles J.",04/07/2011,Failing to demonstrate that nine expenditures were in furtherance of the Campaign,Failing to demonstrate that spending was in furtherance of the campaign,$100
2008A,"Ober, Charles J.",04/07/2011,"Accepting two loans that exceeded $1,375 that were not properly repaid until after the election",Accepting over-the-limit contributions,VNP
2008A,"Ober, Charles J.",04/07/2011,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($70,382)"
2009,"Jennings, Alan W.",04/07/2011,"Accepting a contribution that was over the $2,750 limit",Accepting over-the-limit contributions,VNP
2009,"Jennings, Alan W.",04/07/2011,Making cash payments over the $100 limit,Making cash expenditures greater than $100,VNP
2009,"Diamondstone, Kenneth A.",03/10/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$4,258"
2009,"Heyer, John L.",03/10/2011,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$100
2009,"Heyer, John L.",03/10/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,"$2,001"
2009,"Heyer, John L.",03/10/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$28
2009,"Hunter, Robert A.",03/10/2011,Repayment: QED,Repayment: Qualified Expenditure Deficit,$83
2009,"Dais, Landon",02/10/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$253
2009,"Sasson, Isaac",02/10/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$842
2009A,"Dixon, George",01/13/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$40,883"
2009,"Annabel, Palma",01/13/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$9,281"
2009,"Finan, John M.",12/01/2010,Commingling personal or business funds with campaign funds,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,$500
2009,"Ognibene, Thomas V.",12/01/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$1,410"
2009,"Pechefsky, David",12/01/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$6,297"
2009,"Stewart, Kendall",11/15/2021,Breach of certification,Breach of Certification,
2008,"Crowley, Elizabeth",12/01/2010,Receipt of two contributions from unregistered PAC,Accepting contributions from unregistered political committees,$250
2008,"Crowley, Elizabeth",12/01/2010,Failing to file daily pre-election disclosure statements for two contributions,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$100
2008,"Crowley, Elizabeth",12/01/2010,Making an impermissible post-election expenditure,Making impermissible post-election expenditures,$100
2008,"Crowley, Elizabeth",12/01/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$2,593"
2009A,"Moya, Francisco P.",11/18/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$1,517"
2009,"Ulrich, Eric A.",11/18/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$1,320"
2009A,"Saryian, Paul D.",09/16/2010,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($6,902)"
2009A,"Mitchell, Kenneth",08/12/2010,Improper post-election expenditures totaling $249.65,Making impermissible post-election expenditures,INP
2009A,"Mitchell, Kenneth",08/12/2010,Accepting two contributions from prohibited sources,"Accepting contributions from corporations, limited liability companies, or partnerships",INP
2009A,"Mitchell, Kenneth",08/12/2010,Payment: unspent campaign funds (deficit),Payment: unspent campaign funds (deficit),"($7,589)"
2009A,"Ulrich, Eric A.",08/12/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$4,189"
2008,"Como, Anthony",07/08/2010,Making non-campaign related expenditure of $100,Failing to demonstrate that spending was in furtherance of the campaign,$100
2008,"Como, Anthony",07/08/2010,"Making improper post election expenditure of $1,170.48",Making impermissible post-election expenditures,"$1,170"
2008,"Como, Anthony",07/08/2010,"Making improper post-election expenditures of $5,655.43",Making impermissible post-election expenditures,"$5,655"
2008,"Como, Anthony",07/08/2010,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$12,484"
2008A,"Crowley, Elizabeth",04/08/2010,Receipt of corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$475
2008A,"Crowley, Elizabeth",04/08/2010,Receipt of over the limit contributions,Accepting over-the-limit contributions,$750
2008A,"Crowley, Elizabeth",04/08/2010,Failure to file pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$100
2007A,"James, Jennifer",04/08/2010,Failure to respond in a timely manner to the Board’s request for information regarding questionable contribution documentation.,"Failing to respond/late response to IDR, DAR, etc.",$500
2007A,"James, Jennifer",04/08/2010,Payment: Post-election payment,Payment: Post-election payment,"($23,140)"
2007B,"Sharpe, Wellington",02/04/2010,"Accepting an over-the-limit contribution exceeding the limit by $5,875",Accepting over-the-limit contributions,"$6,375"
2007B,"Sharpe, Wellington",02/04/2010,"Accepting an over-the-limit contribution exceeding the limit by $1,125",Accepting over-the-limit contributions,"$1,375"
2007B,"Sharpe, Wellington",02/04/2010,Accepting in-kind contributions in the form of third-party payments to 65 campaign workers and failing to identtify the source of the payments,Failing to report transactions,"$3,250"
2007B,"Sharpe, Wellington",02/04/2010,Monetary disbursements variance of 35.64%,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,000"
2007B,"Sharpe, Wellington",02/04/2010,Falsifying contribution information and claiming public matching funds on the basis of falsified contribution claims,Material misrepresentation; fraud; submission of false or ficticious information,"$10,000"
2007B,"Sharpe, Wellington",02/04/2010,Breach of certification,Breach of Certification,N/A
2007A,"McNally, Zenobia",02/04/2010,Making non-campaign related expenditures to Turner Liverpool Consulting,Failing to demonstrate that spending was in furtherance of the campaign,No violation
2007A,"McNally, Zenobia",02/04/2010,Filing Disclosure Statement 3 two days late,Failing to file/filing late disclosure statements,$100
2007B,"Mathieu, Eugene",06/11/2009,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$543
2007B,"Mathieu, Eugene",06/11/2009,Accepting an over-the-limit contributions,Accepting over-the-limit contributions,VNP
2007B,"Mathieu, Eugene",06/11/2009,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships","$2,650"
2007B,"Mathieu, Eugene",06/11/2009,Failing to document the value of an in-kind contribution,Failing to document transactions,$50
2007B,"Mathieu, Eugene",06/11/2009,Making 4 cash expenditures greater than $100,Making cash expenditures greater than $100,$487
2007B,"Mathieu, Eugene",06/11/2009,Filing Disclosure Statement 4 one day late,Failing to file/filing late disclosure statements,$50
2007B,"Mathieu, Eugene",06/11/2009,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$50
2007B,"Mathieu, Eugene",06/11/2009,Monetary receipts variance of 97.7%,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$2,000"
2007B,"Mathieu, Eugene",06/11/2009,Disbursements variance of 192.6%,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$3,000"
2007B,"Mathieu, Eugene",06/11/2009,Petty cash fund in excess of $500,Maintaining a petty cash fund greater than $500,$160
2007A,"Mathieu, Eugene",06/11/2009,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.","$1,459"
2007A,"Mathieu, Eugene",06/11/2009,Accepting 5 over-the-limit contributions,Accepting over-the-limit contributions,"$2,152 & VNP"
2007A,"Mathieu, Eugene",06/11/2009,Accepting 2 corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$2,700"
2007A,"Mathieu, Eugene",06/11/2009,Failing to report and document the value of 5 in-kind contributions,Failing to report transactions,"$1,250"
2007A,"Mathieu, Eugene",06/11/2009,Failing to document the value of 2 in-kind contributions,Failing to document transactions,$100
2007A,"Mathieu, Eugene",06/11/2009,Failing to report or establish the absence of subcontractors,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2007A,"Mathieu, Eugene",06/11/2009,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$250
2007A,"Mathieu, Eugene",06/11/2009,Disbursements variance of 12.6%,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2007A,"Mathieu, Eugene",06/11/2009,Cash receipts variance of 110%,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$500
2007A,"Mathieu, Eugene",06/11/2009,"Improper post-election expenditures totaling $6,366",Making impermissible post-election expenditures,$500
2007A,"Mathieu, Eugene",06/11/2009,"Non-campaign related expenditures totaling $20, 216",Failing to demonstrate that spending was in furtherance of the campaign,"$1,011"
2007,"Mathieu, Eugene",06/11/2009,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$522
2007,"Mathieu, Eugene",06/11/2009,Accepting an over-the-limit contributions,Accepting over-the-limit contributions,VNP
2007,"Mathieu, Eugene",06/11/2009,Accepting 2 corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$3,700"
2007,"Mathieu, Eugene",06/11/2009,Failing to document the value of 2 in-kind contributions,Failing to document transactions,$100
2007,"Mathieu, Eugene",06/11/2009,Making 3 cash expenditures greater than $100,Making cash expenditures greater than $100,$300
2007,"Mathieu, Eugene",06/11/2009,Filing Disclosure Statement 6 four days late,Failing to file/filing late disclosure statements,$200
2007,"Mathieu, Eugene",06/11/2009,"Improper post-election expenditures totaling $2,625",Making impermissible post-election expenditures,$250
